Player,Age,Tm,Pos,GP,G,A,PTS,plus_minus,PIM,PS,EV,PP,SH,GW,EV_assists,PP_assists,SH_assists,S,S_pct,TOI,BLK,HIT,FOW,FOL,FO_pct
Vitaly Abramov,20,OTT,RW,1,0,0,0,-3,0,-0.1,0,0,0,0,0,0,0,0,,14,1,0,0,0,
Mark Alt,27,COL,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,20,2,0,0,0,
Darren Archibald,28,OTT,RW,3,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,20,1,2,0,0,
Nicolas Aube-Kubel,22,PHI,RW,9,0,0,0,1,0,0.0,0,0,0,0,0,0,0,2,0.0,50,0,14,0,0,
Jake Bean,20,CAR,D,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,17,0,1,0,0,
Louis Belpedio,22,MIN,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,26,4,1,0,0,
Anthony Bitetto,28,MIN,D,18,0,0,0,-8,4,-0.2,0,0,0,0,0,0,0,15,0.0,237,13,40,0,0,
Colin Blackwell,25,NSH,C,6,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,5,0.0,58,3,10,13,16,44.8
Joseph Blandisi,24,PIT,C,6,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,7,0.0,35,1,6,0,0,
Joseph Blandisi,24,ANA,C,3,0,0,0,-1,6,-0.1,0,0,0,0,0,0,0,1,0.0,32,0,4,0,0,
Anton Blidh,23,BOS,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,14,1,6,0,0,
William Borgen,22,BUF,D,4,0,0,0,-5,0,-0.3,0,0,0,0,0,0,0,2,0.0,66,3,12,0,0,
Reid Boucher,25,VAN,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,5,0,1,0,0,
Erik Brannstrom,19,OTT,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,36,1,1,0,0,
Guillaume Brisebois,21,VAN,D,8,0,0,0,-4,0,-0.2,0,0,0,0,0,0,0,5,0.0,88,7,3,0,0,
Logan Brown,20,OTT,C,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,21,1,0,2,6,25.0
Erik Burgdoerfer,30,OTT,D,4,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,2,0.0,43,0,16,0,0,
Kyle Capobianco,21,ARI,D,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0.0,32,2,2,0,0,
Paul Carey,30,OTT,C,5,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,1,0.0,46,2,2,1,3,25.0
Paul Carey,30,BOS,C,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,29,1,1,0,0,
Gabriel Carlsson,22,CBJ,D,1,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,1,0.0,9,0,0,0,0,
